word	Spam	Ham
yellow	0	2
four	1	2
malarky	0	1
woods	1	0
hanging	0	4
dehydrated	0	1
electricity	0	2
scold	0	2
lord	1	0
callin	0	3
bringing	1	3
disturb	0	9
prize	84	0
andre	0	1
wednesday	0	8
oooh	0	2
specially	9	0
nigh	0	1
tired	0	13
snuggles	0	1
clubmoby	1	0
second	0	17
txtno	2	0
scraped	0	1
scallies	1	0
errors	0	1
mls	0	1
cooking	0	4
fingers	0	8
maraikara	0	1
hero	0	1
here	7	115
specialise	0	1
china	0	3
dogwood	0	1
dorm	0	2
strewn	0	1
k	13	115
eastenders	2	0
recpt	1	0
spotty	0	1
golden	0	1
owed	0	1
replace	0	2
brought	2	2
sterm	0	1
txt	155	13
univ	0	1
cheating	0	2
spoke	0	6
careabout	0	1
browse	1	0
dnt	0	13
music	20	3
passport	0	1
strike	0	3
until	5	22
waxsto	0	2
paperwork	0	2
holy	0	2
relax	0	6
successful	0	3
brings	1	4
premarica	0	1
hols	2	2
yahoo	2	6
hurt	0	19
glass	0	1
hole	0	1
hold	0	15
tirupur	0	3
itself	0	9
wana	0	11
drvgsto	1	0
pints	0	1
smth	0	15
want	28	161
organizer	0	1
preferably	0	4
complaining	0	1
hoo	0	1
hol	1	1
how	7	286
hot	15	7
hor	0	2
hos	0	1
hop	0	5
significance	0	1
beauty	0	2
yun	0	5
plyr	1	0
swtheart	0	3
lololo	0	1
bsnl	0	1
types	1	0
ibored	0	1
aroundn	0	1
wins	1	4
yunny	0	2
alian	0	1
tulip	2	0
areyouunique	1	0
keeps	0	2
souveniers	0	1
wind	0	2
wine	0	11
afterwards	0	1
vary	6	0
kickoff	2	0
welcomes	0	2
lovingly	0	2
fit	1	2
screaming	0	6
fix	0	5
matured	0	4
geva	0	2
wales	1	2
hidden	0	1
easier	0	4
fil	1	0
duvet	0	1
vouchers	21	0
effects	0	2
schools	0	2
xe	1	0
silver	0	2
rumour	0	2
fetching	0	1
dload	5	0
nattil	0	1
arrow	1	0
addicted	0	2
burial	0	1
financial	0	1
fgkslpopw	1	0
series	0	4
allah	0	5
dodda	0	1
bowls	0	1
passwords	0	2
ring	4	16
rt	1	0
ru	0	5
rv	0	1
rw	2	0
rp	1	0
rr	1	1
rs	0	12
syd	0	1
sms	35	21
rd	0	9
re	15	99
rg	2	0
ofcourse	0	1
dracula	2	0
nice	0	59
toking	0	1
sheet	0	1
ate	0	6
shelves	0	1
atm	0	5
ups	0	1
shipped	0	2
meet	8	72
veggie	0	1
kfc	0	1
wasn	0	12
hear	3	29
force	0	3
basketball	0	1
service	54	4
engagement	0	1
xin	0	2
wedlunch	0	1
needed	0	4
listed	0	1
loosu	0	1
hiya	0	9
minmoremobsemspobox	2	0
listen	2	11
wisdom	0	3
termsapply	1	0
trek	0	1
peril	0	1
showed	0	1
saeed	0	1
tree	0	4
likely	0	3
shower	0	11
percentages	0	1
bridgwater	0	1
feeling	2	20
boston	0	3
selflessness	0	1
affairs	0	3
escalator	0	1
person	1	44
responsible	1	0
witot	0	1
andros	0	2
okie	0	17
causing	0	2
doors	0	3
hum	0	1
shall	0	31
doin	0	12
victoria	0	1
doit	1	0
y	1	45
laxinorficated	0	1
mouth	0	2
daywith	0	1
letter	0	4
thriller	0	1
cops	1	0
marsms	1	0
camp	0	1
everythin	0	1
tech	0	2
neekunna	0	1
scream	0	6
came	1	26
marvel	1	0
saying	0	19
bomb	0	1
prin	0	1
insects	0	1
advisors	1	0
teresa	0	1
rodds	1	0
prix	0	1
gauge	0	1
buzzzz	0	1
participate	0	1
lessons	0	9
busy	2	19
menu	1	4
appreciated	0	2
cougar	0	1
touched	0	3
rich	0	3
rice	0	2
pocked	0	1
plate	0	1
platt	0	1
uworld	0	1
mobypobox	1	0
lmao	0	7
kittum	0	1
asssssholeeee	0	1
piggy	0	1
respond	1	4
disaster	1	0
fair	0	3
rupaul	0	1
goodnight	0	9
result	0	4
bleh	0	1
best	9	40
lotz	0	1
ctargg	0	1
lots	2	15
lotr	1	1
wikipedia	0	1
stamps	0	3
score	0	3
glasgow	0	1
gain	0	2
never	1	41
nationwide	0	1
nature	0	6
rolled	0	1
rajini	0	1
icicibank	0	2
wtc	0	1
recent	3	0
wth	0	1
roller	0	1
pity	0	1
accident	2	1
country	4	3
macedonia	1	0
planned	0	7
lookin	1	5
tomarrow	0	3
machan	0	4
login	5	2
argue	0	4
asked	6	22
and	108	687
happenin	0	1
darlin	0	15
diff	0	3
blonde	2	0
billing	1	0
source	0	3
fri	2	11
fro	0	1
frm	0	13
much	1	108
wuld	0	2
stadium	1	0
parents	0	15
obese	0	1
life	3	64
dave	2	1
lift	0	7
chile	0	1
child	1	3
spin	0	1
bridal	1	0
chill	0	3
unsold	0	5
selfindependence	0	1
meetin	0	4
kidz	0	4
congratulation	0	1
played	2	2
player	12	3
feed	0	1
things	2	45
honi	0	1
tgxxrz	1	0
dha	0	1
hont	0	1
split	0	1
babies	0	2
pesky	0	1
tops	0	1
tune	1	0
academic	0	1
dontplease	0	1
nachos	0	1
xxxxxxxxxxxxxx	0	1
opinions	1	1
gigolo	1	0
dosomething	0	1
sleepy	0	2
nydc	0	2
waht	0	2
rushing	0	1
previous	1	2
hai	0	5
enters	0	1
ham	0	2
duffer	0	1
had	18	83
haf	0	23
obedient	0	1
easy	13	18
has	31	78
hat	0	1
hav	0	25
possible	0	9
twinks	1	0
possibly	0	1
birth	0	3
imposed	0	1
shadow	0	1
unique	2	2
d	6	96
remind	0	5
steps	0	1
ola	0	2
right	3	83
old	2	18
crowd	0	1
people	3	46
weds	0	1
oli	0	1
fuuuuck	0	1
creep	0	2
enemies	0	1
for	179	445
bottom	0	3
fox	0	1
creative	0	1
treadmill	0	1
muhommad	0	1
wocay	0	1
aries	1	0
suitemates	0	1
dental	0	1
uz	7	0
colleg	0	1
starring	0	1
losing	0	4
memorable	0	1
quiteamuzing	0	1
dollars	0	5
o	12	18
slightly	0	2
raised	0	1
statements	0	1
honeymoon	0	1
sol	7	0
soo	0	2
sos	0	1
soz	0	1
janx	0	1
support	2	10
constantly	0	3
knowing	0	3
halla	0	1
greatness	0	1
jane	1	2
happy	1	85
offer	27	6
paypal	0	1
notifications	1	0
talents	0	1
fiting	0	1
congratulations	14	1
inside	0	8
pest	0	1
lays	0	2
smashed	1	1
textbook	0	1
exist	0	1
accounting	0	1
ericsson	0	2
dealer	0	2
floor	0	3
actor	0	2
uttered	0	1
flood	0	1
role	0	6
ambitious	0	1
smell	0	1
truffles	0	2
intend	0	1
fathima	0	3
outage	0	1
stealing	0	1
mre	1	0
hollalater	0	1
jewelry	0	1
nxt	0	7
loveme	0	2
preponed	0	1
bakra	0	1
marrge	0	1
broadband	0	1
time	19	191
push	0	2
timi	0	1
sday	0	1
chain	0	3
whoever	0	1
saibaba	0	1
cudnt	0	1
boltblue	1	0
oso	0	23
baller	0	1
overdid	0	1
pen	0	2
macha	0	1
comuk	5	0
followin	0	1
macho	0	3
machi	0	1
jeri	1	0
prepaid	0	2
doke	0	1
minuts	0	5
evng	0	6
maretare	0	1
choice	3	2
onwords	0	1
pleassssssseeeeee	0	1
stays	0	2
exact	0	4
minute	7	12
tear	0	7
leave	2	53
solved	0	2
settle	0	3
team	3	3
loads	1	11
prevent	0	1
spiritual	0	1
rents	0	2
videochat	5	0
sigh	0	2
prediction	0	1
sign	2	6
erotic	1	0
shirts	0	3
rentl	5	0
workand	0	1
headset	1	0
celebrated	0	1
melt	0	2
current	2	3
axel	1	0
thecd	0	1
falling	0	2
crashing	0	1
freaky	0	1
unintentionally	0	1
funeral	0	2
understanding	0	4
yards	1	0
address	4	18
galileo	0	2
along	1	3
neville	0	1
brilliant	0	5
wherever	0	6
yetty	0	1
studies	0	1
influx	0	1
love	8	170
prefer	0	3
bloody	0	4
fake	0	2
thesedays	0	1
gotbabes	1	0
sky	2	1
crammed	0	1
working	0	29
positive	0	1
angry	0	14
tightly	0	1
wicket	0	1
opposed	0	1
wondering	0	9
films	2	1
trishul	0	1
wicked	0	1
afford	0	1
ooooooh	0	1
appendix	0	1
everywhere	0	2
scratches	0	1
easiest	0	1
behalf	0	1
logos	2	0
valued	11	2
hussey	0	1
pretend	0	1
lttrs	0	2
printing	0	1
values	0	1
following	5	2
logon	1	0
mesages	0	2
muah	0	2
awesome	0	19
weasels	0	1
parachute	0	1
locks	0	1
hides	0	1
admirer	10	0
offense	0	1
dooms	0	1
poking	0	1
meive	0	1
fps	0	1
elephant	0	1
lido	0	3
laundry	0	2
landmark	1	0
datz	0	2
spot	0	1
dats	0	1
suntec	0	3
unclaimed	1	0
date	9	11
such	0	1
data	0	1
brainless	0	1
disagreeable	0	1
stress	0	3
surfing	0	5
natural	0	3
ss	4	0
sq	0	1
sp	8	0
sw	4	0
st	30	20
sk	13	0
hon	0	3
si	0	3
sh	0	3
so	26	407
sn	1	4
swollen	0	1
sc	0	1
goodo	0	2
sg	0	1
travel	2	3
se	0	2
sd	0	2
drunken	0	2
bootydelious	1	0
differences	0	1
speedchat	1	0
years	7	20
professors	0	2
course	0	14
studentfinancial	0	1
konw	0	2
disconnect	0	2
jia	0	2
avin	0	1
attraction	0	1
jiu	0	5
decades	0	1
instantly	1	2
conveying	0	1
matches	6	0
smarter	0	1
feelin	1	2
records	5	0
subscribers	1	0
sorted	0	3
twilight	2	0
maintaining	0	1
matched	1	0
pokkiri	0	1
shouted	0	3
blacko	0	1
didn	0	47
quarter	0	1
ovr	0	1
retrieve	2	0
padhe	0	1
receipt	3	2
disasters	0	1
pataistha	0	1
joker	0	1
blu	1	0
alwa	0	1
wiskey	0	2
trauma	0	1
internet	1	6
hcl	0	1
flurries	0	1
sheffield	0	2
million	1	1
possibility	0	1
quite	0	35
grandma	0	1
vijaykanth	0	1
raed	0	2
training	0	8
downon	0	1
rael	0	2
dunno	0	31
wrong	0	15
initiate	0	1
newquay	0	1
hooch	0	1
neglect	0	1
emotion	0	1
oni	0	4
frwd	0	1
spoken	0	4
potter	2	0
one	8	155
spanish	2	1
vote	1	4
open	1	16
city	3	2
sozi	0	1
bite	0	2
uks	3	0
ukp	1	0
indicate	2	0
fml	2	2
stifled	0	1
stuffed	0	1
definitly	0	1
bits	0	1
coccooning	0	1
floppy	1	0
snatch	0	1
fooled	0	1
boyfriend	0	2
remembr	0	2
breadstick	0	1
scrumptious	0	1
cutefrnd	0	3
arun	0	3
arul	0	1
attracts	0	1
illness	0	2
sao	0	1
sam	3	2
thepub	0	1
turned	0	1
locations	5	0
sae	21	0
sad	0	21
woah	0	1
say	1	88
sar	0	2
saw	0	24
sat	2	28
zoe	1	1
babysit	0	1
aproach	0	2
note	0	4
taka	0	1
algarve	2	0
take	14	126
wanting	1	3
ericson	0	1
handing	0	1
printer	0	1
opposite	0	1
knew	0	13
buffet	0	2
printed	0	2
knee	0	1
pages	0	3
countinlots	0	1
sall	0	1
phil	0	1
infections	0	1
sale	4	4
werethe	0	1
salt	0	1
annoncement	1	0
walking	0	6
inclu	1	0
bright	0	3
motivate	0	1
applyed	0	1
slow	1	10
farting	0	1
robs	0	1
coaxing	0	1
foward	0	1
jaykwon	0	1
going	4	163
actin	0	1
hockey	1	1
slob	0	1
caroline	0	2
carolina	0	1
psychiatrist	0	1
freezing	0	3
murali	0	1
awaiting	8	0
settings	3	1
getstop	2	0
borrow	0	2
tenerife	7	0
worried	0	10
racal	1	0
priest	0	1
roger	0	4
worries	0	9
tortilla	0	2
where	2	112
xmas	15	6
wud	0	3
espe	0	1
persian	0	1
anyways	0	4
pisces	0	1
cttargg	0	1
dormitory	0	1
refreshed	0	1
availa	1	0
olayiwola	0	1
jobs	0	2
screen	0	3
punto	0	1
concentrate	0	3
spare	0	2
amore	0	1
spark	0	1
many	3	51
s	83	440
residency	0	1
expression	0	2
conected	0	1
anti	0	3
datebox	2	0
boat	0	3
caring	0	3
swashbuckling	0	1
stretch	0	2
west	0	2
breath	1	1
reflex	0	1
wants	1	20
gist	0	2
hlday	0	1
coughing	0	1
photos	0	5
aiya	0	4
single	1	6
squeezed	0	1
situation	0	9
passes	1	0
ive	0	8
engaged	0	1
bros	0	3
blah	0	1
limping	0	1
verified	0	2
thinkin	0	9
thirtyeight	1	0
downs	0	1
sterling	0	1
askin	0	6
sickness	0	1
mtnl	0	1
cheers	0	8
callon	0	1
cheery	0	1
defo	0	1
costa	7	0
volcanoes	0	1
nothin	0	2
costs	3	2
trains	0	2
grumpy	0	1
hubby	2	1
dimension	0	1
summer	6	1
being	6	36
forevr	0	3
rest	0	11
lolnice	0	1
ghodbandar	0	1
weekly	24	0
kerala	0	6
adsense	0	1
drugdealer	0	1
starving	0	1
proze	1	0
aspects	0	1
around	2	55
lnly	1	0
pos	0	1
dark	1	2
vivekanand	0	1
traffic	0	2
pop	0	3
world	1	34
postal	0	1
vague	0	1
dare	0	4
stranger	0	3
quizclub	1	0
alaipayuthe	0	2
gimme	0	3
clas	0	1
gimmi	0	1
slovely	0	1
masteriastering	0	1
ortxt	0	1
trouser	0	1
monthlysubscription	1	0
playin	0	1
thinks	10	4
memories	0	1
noon	0	11
exit	1	0
otside	0	2
comingdown	0	1
power	0	7
dhorte	0	1
lapdancer	1	0
leadership	1	0
ducking	0	1
acc	0	5
stone	0	3
comfey	0	1
package	1	3
aco	2	0
meal	1	3
neighbor	0	1
act	0	1
luck	5	7
waheeda	0	1
burning	0	2
image	0	1
freaked	0	1
apologize	0	1
hep	0	1
ertini	0	1
her	7	93
hes	0	2
hex	0	2
hey	5	106
hee	0	13
missy	0	1
zaher	0	1
hen	0	1
tissco	0	2
tellmiss	0	1
misss	0	1
project	0	14
uin	0	1
complete	1	7
spider	1	0
technologies	0	1
with	101	249
buying	0	8
handsome	0	1
pull	0	2
rush	0	4
october	0	1
xxxxxxx	3	1
flirt	4	1
treasure	0	1
dirty	1	3
dependents	0	1
agree	0	2
darker	0	1
detailed	0	1
gone	0	16
ac	11	0
ab	1	0
ae	4	0
gona	0	3
ag	2	0
exhausted	0	3
ah	0	36
ak	0	1
aj	2	0
am	25	206
al	0	8
watches	0	1
an	20	89
aq	1	0
kuch	0	1
as	32	124
ar	0	8
hypertension	0	1
at	25	353
fumbling	0	1
av	0	2
ay	0	1
